exerciseid,name,targetmusclegroup,mechanics,difficultylevel,equipment,bodyregion,splitcat
1,Bench Press,Chest,Compound,Intermediate,Barbell,Upper Body,push
2,Barbell Row,Back,Compound,Intermediate,Barbell,Upper Body,pull
3,Squat,Quadriceps,Compound,Advanced,Barbell,Lower Body,legs
4,Cable Fly,Chest,Isolation,Beginner,Cable,Upper Body,push
5,Lat Pulldown,Back,Compound,Beginner,Machine,Upper Body,pull
6,Leg Press,Quadriceps,Compound,Intermediate,Machine,Lower Body,legs
7,Plank,Abdominals,Compound,Beginner,Bodyweight,Core,core
8,Lateral Raise,Shoulders,Isolation,Beginner,Dumbbell,Upper Body,push
9,Romanian Deadlift,Hamstrings,Compound,Advanced,Barbell,Lower Body,legs
10,Incline DB Press,Chest,Compound,Intermediate,Dumbbell,Upper Body,push
11,Seated Cable Row,Back,Compound,Beginner,Cable,Upper Body,pull
12,Leg Curl,Hamstrings,Isolation,Beginner,Machine,Lower Body,legs
